1.496e+11 0
1.18663e+11 9.0847e+10
3.86797e+10 1.43964e+11
-5.72628e+10 1.36992e+11
-1.28858e+11 7.23174e+10
-1.45244e+11 -2.30831e+10
-9.87232e+10 -1.08263e+11
-9.10751e+09 -1.45889e+11
8.43534e+10 -1.19169e+11
1.40357e+11 -3.97984e+10
1.34052e+11 5.7077e+10
6.81108e+10 1.28365e+11
-2.82055e+10 1.41943e+11
-1.11464e+11 9.11192e+10
-1.43187e+11 -1.47189e+09
-1.07925e+11 -9.30898e+10
-2.16732e+10 -1.40372e+11
7.47133e+10 -1.2041e+11
1.3489e+11 -4.25247e+10
1.29601e+11 5.57541e+10
6.11286e+10 1.26566e+11
-3.72415e+10 1.3477e+11
-1.16615e+11 7.55514e+10
-1.36323e+11 -2.18643e+10
-8.53306e+10 -1.07543e+11
1.03718e+10 -1.36258e+11
1.00164e+11 -9.21773e+10
1.35572e+11 1.45107e+09
9.68617e+10 9.38895e+10
4.7411e+09 1.33928e+11
-8.95403e+10 9.82757e+10
-1.31662e+11 6.23541e+09
-9.58384e+10 -8.88744e+10
-2.38636e+09 -1.29668e+11
9.1885e+10 -9.01487e+10
1.27552e+11 5.89089e+09
8.07259e+10 9.7344e+10
-1.90665e+10 1.23522e+11
-1.04733e+11 6.50488e+10
-1.15106e+11 -3.87674e+10
-4.04386e+10 -1.12496e+11
6.41195e+10 -9.8449e+10
1.15005e+11 -5.36374e+09
6.70208e+10 9.00537e+10
-4.01414e+10 1.00989e+11
-1.03421e+11 1.24854e+10
-5.09146e+10 -8.40671e+10
5.86488e+10 -6.79791e+10
6.29409e+10 4.1756e+10
