# Matter power spectrum P(k) at redshift z=0
# for k=1.04501e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.340384048116e-02       2.422043474583e+04 
       1.353280407341e-02       2.426376661410e+04 
       1.366180391227e-02       2.430495295471e+04 
       1.379084009370e-02       2.434402073720e+04 
       1.391991273698e-02       2.438099661349e+04 
       1.404902198434e-02       2.441590716507e+04 
       1.417816800058e-02       2.444877851598e+04 
       1.430735097277e-02       2.447963659140e+04 
       1.443657110995e-02       2.450850704537e+04 
       1.456582864284e-02       2.453541534092e+04 
       1.469512382366e-02       2.456038664069e+04 
       1.482445692589e-02       2.458344601795e+04 
       1.495382824412e-02       2.460461821507e+04 
       1.508323809390e-02       2.462392780484e+04 
       1.521268681160e-02       2.464139927384e+04 
       1.534217475437e-02       2.465705666575e+04 
       1.547170229999e-02       2.467092411261e+04 
       1.560126984689e-02       2.468302535888e+04 
       1.573087781410e-02       2.469338394409e+04 
       1.586052664122e-02       2.470202340730e+04 
       1.599021678848e-02       2.470896689282e+04 
       1.611994873675e-02       2.471423748646e+04 
       1.624972298760e-02       2.471785804163e+04 
       1.637954006340e-02       2.471985127628e+04 
       1.650940050736e-02       2.472023960580e+04 
       1.663930488370e-02       2.471904550394e+04 
       1.676925377775e-02       2.471629090979e+04 
       1.689924779611e-02       2.471199803132e+04 
       1.702928756681e-02       2.470618856211e+04 
       1.715937373952e-02       2.469888415164e+04 
       1.728950698569e-02       2.469010635000e+04 
       1.741968799884e-02       2.467987623297e+04 
       1.754991749475e-02       2.466821520502e+04 
       1.768019621172e-02       2.465514415016e+04 
       1.781052491086e-02       2.464068380686e+04 
       1.794090437634e-02       2.462485485710e+04 
       1.807133541572e-02       2.460767790887e+04 
       1.820181886024e-02       2.458917299138e+04 
       1.833235556520e-02       2.456936059974e+04 
       1.846294641026e-02       2.454826058019e+04 
       1.859359229984e-02       2.452589284895e+04 
       1.872429416351e-02       2.450227696647e+04 
       1.885505295637e-02       2.447743269848e+04 
       1.898586965946e-02       2.445137919536e+04 
       1.911674528026e-02       2.442413587775e+04 
       1.924768085305e-02       2.439572176669e+04 
       1.937867743949e-02       2.436615587202e+04 
       1.950973612900e-02       2.433545673225e+04 
       1.964085803936e-02       2.430364324223e+04 
       1.977204431718e-02       2.427073383658e+04 
       1.990329613849e-02       2.423674658317e+04 
       2.003461470925e-02       2.420170004748e+04 
       2.016600126601e-02       2.416561202130e+04 
       2.029745707644e-02       2.412850048044e+04 
       2.042898344000e-02       2.409038301513e+04 
       2.056058168859e-02       2.405127745793e+04 
       2.069225318721e-02       2.401120098971e+04 
       2.082399933463e-02       2.397017100563e+04 
       2.095582156413e-02       2.392820476414e+04 
       2.108772134424e-02       2.388531915902e+04 
       2.121970017948e-02       2.384153095369e+04 
       2.135175961114e-02       2.379685694257e+04 
       2.148390121815e-02       2.375131377119e+04 
       2.161612661781e-02       2.370491763567e+04 
       2.174843746674e-02       2.365768493364e+04 
       2.188083546176e-02       2.360963184177e+04 
       2.201332234074e-02       2.356077427275e+04 
       2.214589988362e-02       2.351112797146e+04 
       2.227856991336e-02       2.346070867876e+04 
       2.241133429692e-02       2.340953204514e+04 
       2.254419494634e-02       2.335761319102e+04 
       2.267715381978e-02       2.330496761693e+04 
       2.281021292263e-02       2.325161036200e+04 
       2.294337430865e-02       2.319755627465e+04 
       2.307664008114e-02       2.314282022632e+04 
       2.321001239414e-02       2.308741702561e+04 
       2.334349345372e-02       2.303136076492e+04 
       2.347708551920e-02       2.297466626164e+04 
       2.361079090453e-02       2.291734757933e+04 
       2.374461197965e-02       2.285941878890e+04 
       2.387855117189e-02       2.280089382387e+04 
       2.401261096743e-02       2.274178630037e+04 
       2.414679391282e-02       2.268211019033e+04 
       2.428110261652e-02       2.262187888654e+04 
       2.441553975051e-02       2.256110532391e+04 
       2.455010805193e-02       2.249980332182e+04 
       2.468481032483e-02       2.243798555454e+04 
