# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       6.873794772976e-01       1.162060507073e+04       1.165804152345e+00       1.267543115820e-06       9.979807397470e-01       1.264983616388e-06       9.993708000431e-01       2.547951737464e-13       4.173562759123e-06 
       7.140915147705e-01       1.154111650904e+04       1.165804030786e+00       1.307992278702e-06       9.978785803198e-01       1.305217478140e-06       1.029360526690e+00       2.622420383019e-13       4.434189571389e-06 
       7.413681744406e-01       1.146127086482e+04       1.165803892504e+00       1.349951993619e-06       9.977726893896e-01       1.346945231220e-06       1.060348776638e+00       2.699254878553e-13       4.708653261276e-06 
       7.692222827919e-01       1.138108967629e+04       1.165803734831e+00       1.393483597344e-06       9.976629449205e-01       1.390226949424e-06       1.092368257255e+00       2.778525471020e-13       4.997675461525e-06 
       7.976668135384e-01       1.130059511107e+04       1.165803554625e+00       1.438650811155e-06       9.975492220494e-01       1.435124997468e-06       1.125452394739e+00       2.860303357549e-13       5.302013063793e-06 
       8.267148838456e-01       1.121980991720e+04       1.165803348168e+00       1.485519820144e-06       9.974313930671e-01       1.481704103636e-06       1.159635317979e+00       2.944660589123e-13       5.622459769870e-06 
       8.563797510571e-01       1.113875737026e+04       1.165803111053e+00       1.534159355370e-06       9.973093273972e-01       1.530031434824e-06       1.194951839857e+00       3.031669963656e-13       5.959847711656e-06 
       8.866748095121e-01       1.105746121829e+04       1.165802838047e+00       1.584640778252e-06       9.971828915725e-01       1.580176673361e-06       1.231437435294e+00       3.121404909127e-13       6.315049138939e-06 
       9.176135882241e-01       1.097594562262e+04       1.165802522912e+00       1.637038168550e-06       9.970519492082e-01       1.632212096881e-06       1.269128216763e+00       3.213939355835e-13       6.688978187100e-06 
       9.492097495245e-01       1.089423509526e+04       1.165802158200e+00       1.691428416251e-06       9.969163609677e-01       1.686212661567e-06       1.308060907217e+00       3.309347595803e-13       7.082592730106e-06 
       9.814770877689e-01       1.081235443598e+04       1.165801734991e+00       1.747891315978e-06       9.967759845281e-01       1.742256087332e-06       1.348272809049e+00       3.407704130949e-13       7.496896312566e-06 
       1.014429529236e+00       1.073032866615e+04       1.165801242573e+00       1.806509665932e-06       9.966306745372e-01       1.800422946915e-06       1.389801770320e+00       3.509083508341e-13       7.932940182098e-06 
       1.048081133262e+00       1.064818296037e+04       1.165800668047e+00       1.867369371693e-06       9.964802825626e-01       1.860796759154e-06       1.432686148057e+00       3.613560139974e-13       8.391825425332e-06 
       1.082446093456e+00       1.056594258000e+04       1.165799995840e+00       1.930559552980e-06       9.963246570393e-01       1.923464084517e-06       1.476964766886e+00       3.721208110267e-13       8.874705197828e-06 
       1.117538740839e+00       1.048363280281e+04       1.165799207093e+00       1.996172656810e-06       9.961636432027e-01       1.988514626269e-06       1.522676875156e+00       3.832100966442e-13       9.382787086858e-06 
       1.153373547857e+00       1.040127885434e+04       1.165798278901e+00       2.064304575458e-06       9.959970830168e-01       2.056041335615e-06       1.569862096911e+00       3.946311492125e-13       9.917335589149e-06 
       1.189965133229e+00       1.031890584028e+04       1.165797183368e+00       2.135054769217e-06       9.958248150941e-01       2.126140520772e-06       1.618560379312e+00       4.063911465941e-13       1.047967471782e-05 
       1.227328269324e+00       1.023653867586e+04       1.165795886409e+00       2.208526397459e-06       9.956466745977e-01       2.198911963392e-06       1.668811937599e+00       4.184971397285e-13       1.107119077794e-05 
       1.265477889842e+00       1.015420202115e+04       1.165794346260e+00       2.284826453881e-06       9.954624931410e-01       2.274459038175e-06       1.720657194102e+00       4.309560247155e-13       1.169333526712e-05 
       1.304429100603e+00       1.007192021182e+04       1.165792511577e+00       2.364065911593e-06       9.952720986635e-01       2.352888841210e-06       1.774136714963e+00       4.437745123936e-13       1.234762798858e-05 
       1.344197191760e+00       9.989717194912e+03       1.165790319049e+00       2.446359874930e-06       9.950753152980e-01       2.434312323878e-06       1.829291141747e+00       4.569590959662e-13       1.303566032719e-05 
       1.384797652973e+00       9.907616462991e+03       1.165787690349e+00       2.531827741142e-06       9.948719632145e-01       2.518844435351e-06       1.886161119806e+00       4.705160162682e-13       1.375909875920e-05 
       1.426246192074e+00       9.825640988570e+03       1.165784528257e+00       2.620593373198e-06       9.946618584414e-01       2.606604274805e-06       1.944787223717e+00       4.844512244322e-13       1.451968860754e-05 
       1.468558757109e+00       9.743813160195e+03       1.165780711702e+00       2.712785283458e-06       9.944448126630e-01       2.697715253003e-06       2.005209879216e+00       4.987703424652e-13       1.531925805932e-05 
       1.511751564528e+00       9.662154713255e+03       1.165776089394e+00       2.808536833937e-06       9.942206329739e-01       2.792305268767e-06       2.067469285278e+00       5.134786206907e-13       1.615972254708e-05 
       1.555841132676e+00       9.580686663285e+03       1.165770471631e+00       2.907986451167e-06       9.939891216022e-01       2.890506898227e-06       2.131605334577e+00       5.285808934350e-13       1.704308946655e-05 
       1.600844325233e+00       9.499429228165e+03       1.165763619702e+00       3.011277865252e-06       9.937500755608e-01       2.992457606128e-06       2.197657538935e+00       5.440815313753e-13       1.797146342714e-05 
       1.646778404341e+00       9.418401749905e+03       1.165755232150e+00       3.118560371847e-06       9.935032862441e-01       3.098299977780e-06       2.265664958780e+00       5.599843926797e-13       1.894705200325e-05 
       1.693661100068e+00       9.337622597903e+03       1.165744926894e+00       3.229989130841e-06       9.932485389082e-01       3.208181984897e-06       2.335666146503e+00       5.762927711947e-13       1.997217229018e-05 
       1.741510698140e+00       9.257109063791e+03       1.165732217852e+00       3.345725504414e-06       9.929856120456e-01       3.322257287737e-06       2.407699106062e+00       5.930093445354e-13       2.104925829107e-05 
       1.790346155652e+00       9.176877226183e+03       1.165716484297e+00       3.465937454494e-06       9.927142765647e-01       3.440685592756e-06       2.481801283791e+00       6.101361207071e-13       2.218086959042e-05 
       1.840187251386e+00       9.096941790953e+03       1.165696930490e+00       3.590800011577e-06       9.924342947602e-01       3.563633077114e-06       2.558009600210e+00       6.276743868925e-13       2.336970151039e-05 
       1.891054785982e+00       9.017315881562e+03       1.165672532312e+00       3.720495846161e-06       9.921454189452e-01       3.691272909973e-06       2.636360546843e+00       6.456246603864e-13       2.461859745883e-05 
       1.942970848003e+00       8.938010774481e+03       1.165641966414e+00       3.855215974318e-06       9.918473896665e-01       3.823785900728e-06       2.716890373072e+00       6.639866461867e-13       2.593056405794e-05 
       1.995959171902e+00       8.859035548772e+03       1.165603515739e+00       3.995160650887e-06       9.915399333070e-01       3.961361325331e-06       2.799635404495e+00       6.827592043796e-13       2.730879023415e-05 
       2.050045622437e+00       8.780396623974e+03       1.165554943002e+00       4.140540521632e-06       9.912227588601e-01       4.104197999024e-06       2.884632547880e+00       7.019403330568e-13       2.875667170603e-05 
       2.105258853767e+00       8.702097144059e+03       1.165493320444e+00       4.291578135046e-06       9.908955535461e-01       4.252505691713e-06       2.971920059897e+00       7.215271759527e-13       3.027784301954e-05 
       2.161631214096e+00       8.624136143920e+03       1.165414799656e+00       4.448509965351e-06       9.905579767790e-01       4.406507030959e-06       3.061538693513e+00       7.415160633620e-13       3.187622033508e-05 
       2.219199991844e+00       8.546507427274e+03       1.165314298746e+00       4.611589152094e-06       9.902096518556e-01       4.566440088796e-06       3.153533375168e+00       7.619026052984e-13       3.355605927533e-05 
       2.278009147109e+00       8.469198027695e+03       1.165185074803e+00       4.781089271641e-06       9.898501543358e-01       4.732561953427e-06       3.247955643025e+00       7.826818535302e-13       3.532203469153e-05 
       2.338111729153e+00       8.392186106979e+03       1.165018136064e+00       4.957309582380e-06       9.894789957751e-01       4.905153707319e-06       3.344867164427e+00       8.038485650590e-13       3.717935170851e-05 
       2.399573277257e+00       8.315438047489e+03       1.164801428286e+00       5.140582407920e-06       9.890956006940e-01       5.084527444678e-06       3.444344803021e+00       8.253976032085e-13       3.913390268934e-05 
       2.462476638362e+00       8.238904416390e+03       1.164518700255e+00       5.331283633178e-06       9.886992737828e-01       5.271036256453e-06       3.546487914860e+00       8.473245277589e-13       4.119249142731e-05 
       2.526928841978e+00       8.162514324604e+03       1.164147908751e+00       5.529847760795e-06       9.882891528380e-01       5.465088558839e-06       3.651428868539e+00       8.696264437131e-13       4.336315697146e-05 
       2.593070990466e+00       8.086167480216e+03       1.163658955266e+00       5.736789697254e-06       9.878641406428e-01       5.667168824326e-06       3.759348263365e+00       8.923031869627e-13       4.565564662829e-05 
       2.661092591851e+00       8.009722944209e+03       1.163010442261e+00       5.952736476713e-06       9.874228057234e-01       5.877867753568e-06       3.870497009951e+00       9.153589381090e-13       4.808211337510e-05 
       2.731252447809e+00       7.932983167100e+03       1.162144977354e+00       6.178473580964e-06       9.869632369223e-01       6.097926284707e-06       3.985228421588e+00       9.388043192966e-13       5.065815297761e-05 
       2.803909079115e+00       7.855671477252e+03       1.160982321838e+00       6.415012105650e-06       9.864828304796e-01       6.328299299543e-06       4.104044630083e+00       9.626588668836e-13       5.340435114952e-05 
       2.879564258481e+00       7.777401326548e+03       1.159409398672e+00       6.663683070043e-06       9.859779838479e-01       6.570244798402e-06       4.227662124024e+00       9.869532313067e-13       5.634856741144e-05 
       2.958921173633e+00       7.697638581955e+03       1.157266099157e+00       6.926256295259e-06       9.854436841628e-01       6.825435521056e-06       4.357097014436e+00       1.011728851467e-12       5.952914404560e-05 
       3.042944714077e+00       7.615672305577e+03       1.154327244722e+00       7.205036227480e-06       9.848730768451e-01       7.096046198138e-06       4.493746467859e+00       1.037028925275e-12       6.299867604137e-05 
       3.132856488113e+00       7.530658143701e+03       1.150289105228e+00       7.502729238775e-06       9.842574856887e-01       7.384617416360e-06       4.639352795092e+00       1.062868561420e-12       6.682551327865e-05 
       3.229857215045e+00       7.441908344219e+03       1.144797724330e+00       7.821531340570e-06       9.835883501276e-01       7.693167106743e-06       4.795516024287e+00       1.089173899895e-12       7.108324742238e-05 
       3.334267608416e+00       7.349636729129e+03       1.137611351872e+00       8.160879760927e-06       9.828632958141e-01       8.021029178567e-06       4.962287155836e+00       1.115702033645e-12       7.581143043284e-05 
       3.444386365868e+00       7.255775040007e+03       1.128945239122e+00       8.515459883948e-06       9.820942884641e-01       8.362984515670e-06       5.136400583324e+00       1.141981781452e-12       8.095585599931e-05 
       3.556662073800e+00       7.163516425980e+03       1.119676108810e+00       8.877642933650e-06       9.813065107133e-01       8.711688810579e-06       5.311724188627e+00       1.167383411782e-12       8.636357565307e-05 
       3.667718572052e+00       7.075481921128e+03       1.110948129283e+00       9.243037747197e-06       9.805239415131e-01       9.063019803436e-06       5.482603866317e+00       1.191375967004e-12       9.187305198232e-05 
       3.775908683344e+00       6.992628859070e+03       1.103549567150e+00       9.612038267056e-06       9.797581647365e-01       9.417472971909e-06       5.646260474521e+00       1.213700370113e-12       9.739659762384e-05 
       3.881154220112e+00       6.914637881108e+03       1.097723169516e+00       9.987332468630e-06       9.790094477461e-01       9.777692844570e-06       5.802397706940e+00       1.234297754881e-12       1.029232411569e-04 
       3.984141542529e+00       6.840681371430e+03       1.093349110389e+00       1.037173012734e-05       9.782725105972e-01       1.014637847091e-05       5.951849384056e+00       1.253166886153e-12       1.084843108751e-04 
       4.085745529331e+00       6.769893755227e+03       1.090165132409e+00       1.076745727496e-05       9.775406844557e-01       1.052562755441e-05       6.095648299780e+00       1.270278129310e-12       1.141254766600e-04 
       4.186773015611e+00       6.701547649620e+03       1.087895081741e+00       1.117617301859e-05       9.768077731911e-01       1.091697267908e-05       6.234624017843e+00       1.285542964995e-12       1.198929401704e-04 
       4.287886798175e+00       6.635084613190e+03       1.086300717334e+00       1.159914513384e-05       9.760686108100e-01       1.132156147737e-05       6.369289503861e+00       1.298809363001e-12       1.258284768728e-04 
       4.389604405693e+00       6.570094326705e+03       1.085193908716e+00       1.203740142565e-05       9.753190769818e-01       1.174030724773e-05       6.499842923483e+00       1.309864841479e-12       1.319684921792e-04 
       4.492320875343e+00       6.506282348665e+03       1.084432888895e+00       1.249183105171e-05       9.745559370607e-01       1.217398811620e-05       6.626203383362e+00       1.318439900770e-12       1.383445769284e-04 
       4.596335459832e+00       6.443440253645e+03       1.083913749226e+00       1.296324776464e-05       9.737766516827e-01       1.262330800318e-05       6.748049240136e+00       1.324209562274e-12       1.449844877234e-04 
