# Matter power spectrum P(k) at redshift z=0
# for k=1.04501e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.340384047152e-02       2.422049032439e+04 
       1.353280406377e-02       2.426382229101e+04 
       1.366180390263e-02       2.430500872505e+04 
       1.379084008406e-02       2.434407659610e+04 
       1.391991272733e-02       2.438105255615e+04 
       1.404902197469e-02       2.441596318674e+04 
       1.417816799092e-02       2.444883461200e+04 
       1.430735096312e-02       2.447969275713e+04 
       1.443657110029e-02       2.450856327625e+04 
       1.456582863318e-02       2.453547163245e+04 
       1.469512381399e-02       2.456044298844e+04 
       1.482445691622e-02       2.458350241753e+04 
       1.495382823445e-02       2.460467466213e+04 
       1.508323808422e-02       2.462398429512e+04 
       1.521268680193e-02       2.464145580312e+04 
       1.534217474469e-02       2.465711322988e+04 
       1.547170229031e-02       2.467098070747e+04 
       1.560126983721e-02       2.468308198042e+04 
       1.573087780441e-02       2.469344058833e+04 
       1.586052663153e-02       2.470208007028e+04 
       1.599021677878e-02       2.470902357066e+04 
       1.611994872705e-02       2.471429417532e+04 
       1.624972297790e-02       2.471791473773e+04 
       1.637954005369e-02       2.471990797589e+04 
       1.650940049765e-02       2.472029630524e+04 
       1.663930487399e-02       2.471910219956e+04 
       1.676925376803e-02       2.471634759805e+04 
       1.689924778639e-02       2.471205470867e+04 
       1.702928755709e-02       2.470624522508e+04 
       1.715937372979e-02       2.469894079680e+04 
       1.728950697596e-02       2.469016297398e+04 
       1.741968798911e-02       2.467993283244e+04 
       1.754991748501e-02       2.466827177670e+04 
       1.768019620198e-02       2.465520069082e+04 
       1.781052490112e-02       2.464074031331e+04 
       1.794090436659e-02       2.462491132620e+04 
       1.807133540597e-02       2.460773433755e+04 
       1.820181885049e-02       2.458922937658e+04 
       1.833235555544e-02       2.456941693848e+04 
       1.846294640050e-02       2.454831686951e+04 
       1.859359229008e-02       2.452594908595e+04 
       1.872429415374e-02       2.450233314830e+04 
       1.885505294659e-02       2.447748882232e+04 
       1.898586964968e-02       2.445143525843e+04 
       1.911674527047e-02       2.442419187732e+04 
       1.924768084327e-02       2.439577770010e+04 
       1.937867742969e-02       2.436621173662e+04 
       1.950973611920e-02       2.433551252544e+04 
       1.964085802955e-02       2.430369896147e+04 
       1.977204430737e-02       2.427078947934e+04 
       1.990329612868e-02       2.423680214701e+04 
       2.003461469944e-02       2.420175552995e+04 
       2.016600125619e-02       2.416566742003e+04 
       2.029745706661e-02       2.412855579309e+04 
       2.042898343017e-02       2.409043823938e+04 
       2.056058167876e-02       2.405133259153e+04 
       2.069225317737e-02       2.401125603043e+04 
       2.082399932478e-02       2.397022595130e+04 
       2.095582155427e-02       2.392825961260e+04 
       2.108772133438e-02       2.388537390816e+04 
       2.121970016961e-02       2.384158560147e+04 
       2.135175960127e-02       2.379691148695e+04 
       2.148390120827e-02       2.375136821017e+04 
       2.161612660792e-02       2.370497196731e+04 
       2.174843745685e-02       2.365773915602e+04 
       2.188083545186e-02       2.360968595302e+04 
       2.201332233083e-02       2.356082827102e+04 
       2.214589987371e-02       2.351118185494e+04 
       2.227856990344e-02       2.346076244568e+04 
       2.241133428699e-02       2.340958569378e+04 
       2.254419493641e-02       2.335766671968e+04 
       2.267715380984e-02       2.330502102394e+04 
       2.281021291268e-02       2.325166364573e+04 
       2.294337429870e-02       2.319760943352e+04 
       2.307664007117e-02       2.314287325874e+04 
       2.321001238417e-02       2.308746993007e+04 
       2.334349344374e-02       2.303141353992e+04 
       2.347708550921e-02       2.297471890574e+04 
       2.361079089453e-02       2.291740009108e+04 
       2.374461196965e-02       2.285947116691e+04 
       2.387855116188e-02       2.280094606678e+04 
       2.401261095741e-02       2.274183840683e+04 
       2.414679390279e-02       2.268216215905e+04 
       2.428110260648e-02       2.262193071625e+04 
       2.441553974045e-02       2.256115701336e+04 
       2.455010804187e-02       2.249985486981e+04 
       2.468481031476e-02       2.243803695988e+04 
       2.481964943180e-02       2.237571640210e+04 
       2.495462833615e-02       2.231290569363e+04 
       2.508975004332e-02       2.224961762982e+04 
       2.522501764309e-02       2.218586475966e+04 
       2.536043430160e-02       2.212165918234e+04 
       2.549600326334e-02       2.205701315242e+04 
       2.563172785335e-02       2.199193883624e+04 
       2.576761147941e-02       2.192644795188e+04 
       2.590365763436e-02       2.186055240723e+04 
       2.603986989847e-02       2.179426343874e+04 
       2.617625194188e-02       2.172759282649e+04 
       2.631280752715e-02       2.166055183843e+04 
       2.644954051189e-02       2.159315131822e+04 
       2.658645485151e-02       2.152540258443e+04 
       2.672355460196e-02       2.145731641008e+04 
       2.686084392275e-02       2.138890345723e+04 
       2.699832707987e-02       2.132017434660e+04 
       2.713600844902e-02       2.125113925344e+04 
       2.727389251878e-02       2.118180874184e+04 
       2.741198389399e-02       2.111219269595e+04 
       2.755028729927e-02       2.104230123925e+04 
       2.768880758259e-02       2.097214410111e+04 
       2.782754971906e-02       2.090173097719e+04 
       2.796651881480e-02       2.083107148573e+04 
