# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.693558000484e-10       8.930257359495e-15       2.182780222439e-13       0.000000000000e+00       8.180304676578e-11       8.892253839183e-12      -5.663847877852e-15 
   43       1.717811936968e-10       9.655920847809e-15       2.064745883363e-13       0.000000000000e+00       7.789585384018e-11       8.506446843405e-12      -5.840405897170e-15 
   44       1.742326482557e-10       1.041888951004e-14       1.934100594197e-13       0.000000000000e+00       7.423894250514e-11       8.144858306161e-12      -6.711459451410e-15 
   45       1.767132264256e-10       1.121847140220e-14       1.789534376750e-13       0.000000000000e+00       7.079676391805e-11       7.803274483532e-12      -7.972392173675e-15 
   46       1.792246530978e-10       1.205484883100e-14       1.629782551467e-13       0.000000000000e+00       6.756391409802e-11       7.481092077258e-12      -9.409313869985e-15 
   47       1.817661688904e-10       1.292840920702e-14       1.453468213882e-13       0.000000000000e+00       6.453663860658e-11       7.178056674578e-12      -1.080618123311e-14 
   48       1.843339350262e-10       1.383949010490e-14       1.259036085289e-13       0.000000000000e+00       6.170158073275e-11       6.892982126003e-12      -1.190830326596e-14 
   49       1.869207751414e-10       1.478837744993e-14       1.044742203207e-13       0.000000000000e+00       5.903506737532e-11       6.623680496248e-12      -1.242030402756e-14 
   50       1.895192286440e-10       1.577529658508e-14       8.091371473675e-14       0.000000000000e+00       5.651024088494e-11       6.367660245463e-12      -1.209841157926e-14 
   51       1.921322868674e-10       1.680038682048e-14       5.526942680660e-14       0.000000000000e+00       5.412239353324e-11       6.124606704726e-12      -1.106158371568e-14 
   52       1.947651248255e-10       1.786371684115e-14       2.766056013358e-14       0.000000000000e+00       5.186927540268e-11       5.894453813486e-12      -9.561312277912e-15 
   53       1.974219444409e-10       1.896528912546e-14      -1.766042931197e-15       0.000000000000e+00       4.974351274625e-11       5.676641643050e-12      -7.897022731196e-15 
   54       2.001058721923e-10       2.010503779674e-14      -3.283460972174e-14       0.000000000000e+00       4.773226309139e-11       5.470082499532e-12      -6.418475790834e-15 
   55       2.028190479448e-10       2.128286973999e-14      -6.538274285401e-14       0.000000000000e+00       4.582113464581e-11       5.273516706562e-12      -5.444161184206e-15 
   56       2.055631517676e-10       2.249880483524e-14      -9.940360296183e-14       0.000000000000e+00       4.400787483142e-11       5.086761108867e-12      -4.987237033525e-15 
   57       2.083388287094e-10       2.375286679812e-14      -1.349367849238e-13       0.000000000000e+00       4.229147816352e-11       4.909711350440e-12      -4.965714568661e-15 
   58       2.111454162405e-10       2.504504251418e-14      -1.720282134965e-13       0.000000000000e+00       4.066804501828e-11       4.741961061300e-12      -5.279648572223e-15 
   59       2.139808493482e-10       2.637528157620e-14      -2.107305503383e-13       0.000000000000e+00       3.913060287833e-11       4.582783142767e-12      -5.810265971853e-15 
   60       2.168415656324e-10       2.774349582141e-14      -2.511036010330e-13       0.000000000000e+00       3.766892757822e-11       4.431111052747e-12      -6.419094432501e-15 
   61       2.197240030526e-10       2.914948944771e-14      -2.932025305124e-13       0.000000000000e+00       3.627238302075e-11       4.285836284940e-12      -6.976444628660e-15 
   62       2.226297007269e-10       3.059273207898e-14      -3.370384974788e-13       0.000000000000e+00       3.493958956467e-11       4.146821172024e-12      -7.456299202358e-15 
   63       2.255611798621e-10       3.207253370887e-14      -3.826098660148e-13       0.000000000000e+00       3.367061848381e-11       4.014081242007e-12      -7.861273252450e-15 
   64       2.285204086407e-10       3.358810701437e-14      -4.299136372694e-13       0.000000000000e+00       3.246408365944e-11       3.887480574574e-12      -8.195198879999e-15 
