# Matter power spectrum P(k) at redshift z=0
# for k=1.04501e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.340384047844e-02       2.422044190957e+04 
       1.353280407069e-02       2.426377379042e+04 
       1.366180390955e-02       2.430496014298e+04 
       1.379084009098e-02       2.434402793679e+04 
       1.391991273426e-02       2.438100382378e+04 
       1.404902198161e-02       2.441591438545e+04 
       1.417816799786e-02       2.444878574585e+04 
       1.430735097005e-02       2.447964383016e+04 
       1.443657110722e-02       2.450851429244e+04 
       1.456582864012e-02       2.453542259571e+04 
       1.469512382093e-02       2.456039390264e+04 
       1.482445692316e-02       2.458345328650e+04 
       1.495382824139e-02       2.460462548964e+04 
       1.508323809117e-02       2.462393508490e+04 
       1.521268680887e-02       2.464140655884e+04 
       1.534217475164e-02       2.465706395516e+04 
       1.547170229726e-02       2.467093140590e+04 
       1.560126984416e-02       2.468303265552e+04 
       1.573087781136e-02       2.469339124358e+04 
       1.586052663848e-02       2.470203070913e+04 
       1.599021678574e-02       2.470897419648e+04 
       1.611994873401e-02       2.471424479146e+04 
       1.624972298487e-02       2.471786534750e+04 
       1.637954006066e-02       2.471985858252e+04 
       1.650940050462e-02       2.472024691195e+04 
       1.663930488096e-02       2.471905280952e+04 
       1.676925377501e-02       2.471629821435e+04 
       1.689924779337e-02       2.471200533440e+04 
       1.702928756407e-02       2.470619586327e+04 
       1.715937373677e-02       2.469889145044e+04 
       1.728950698295e-02       2.469011364601e+04 
       1.741968799609e-02       2.467988352576e+04 
       1.754991749200e-02       2.466822249417e+04 
       1.768019620898e-02       2.465515143525e+04 
       1.781052490811e-02       2.464069108748e+04 
       1.794090437359e-02       2.462486213285e+04 
       1.807133541297e-02       2.460768517935e+04 
       1.820181885749e-02       2.458918025620e+04 
       1.833235556244e-02       2.456936785853e+04 
       1.846294640750e-02       2.454826783256e+04 
       1.859359229709e-02       2.452590009453e+04 
       1.872429416076e-02       2.450228420489e+04 
       1.885505295361e-02       2.447743992938e+04 
       1.898586965670e-02       2.445138641838e+04 
       1.911674527750e-02       2.442414309255e+04 
       1.924768085029e-02       2.439572897292e+04 
       1.937867743672e-02       2.436616306934e+04 
       1.950973612624e-02       2.433546392032e+04 
       1.964085803659e-02       2.430365042074e+04 
       1.977204431442e-02       2.427074100519e+04 
       1.990329613572e-02       2.423675374158e+04 
       2.003461470649e-02       2.420170719537e+04 
       2.016600126324e-02       2.416561915837e+04 
       2.029745707366e-02       2.412850760639e+04 
       2.042898343723e-02       2.409039012966e+04 
       2.056058168582e-02       2.405128456075e+04 
       2.069225318443e-02       2.401120808054e+04 
       2.082399933185e-02       2.397017808418e+04 
       2.095582156135e-02       2.392821183015e+04 
       2.108772134146e-02       2.388532621220e+04 
       2.121970017669e-02       2.384153799378e+04 
       2.135175960836e-02       2.379686396933e+04 
       2.148390121536e-02       2.375132078434e+04 
       2.161612661502e-02       2.370492463499e+04 
       2.174843746395e-02       2.365769191886e+04 
       2.188083545896e-02       2.360963881266e+04 
       2.201332233794e-02       2.356078122906e+04 
       2.214589988082e-02       2.351113491298e+04 
       2.227856991056e-02       2.346071560525e+04 
       2.241133429412e-02       2.340953895638e+04 
       2.254419494354e-02       2.335762008680e+04 
       2.267715381698e-02       2.330497449703e+04 
       2.281021291983e-02       2.325161722621e+04 
       2.294337430584e-02       2.319756312277e+04 
       2.307664007833e-02       2.314282705813e+04 
       2.321001239133e-02       2.308742384095e+04 
       2.334349345090e-02       2.303136756357e+04 
       2.347708551638e-02       2.297467304344e+04 
       2.361079090171e-02       2.291735434407e+04 
       2.374461197683e-02       2.285942553643e+04 
       2.387855116907e-02       2.280090055399e+04 
       2.401261096460e-02       2.274179301292e+04 
       2.414679390999e-02       2.268211688515e+04 
       2.428110261369e-02       2.262188556346e+04 
       2.441553974767e-02       2.256111198276e+04 
       2.455010804910e-02       2.249980996246e+04 
       2.468481032199e-02       2.243799217681e+04 
       2.481964943904e-02       2.237567174431e+04 
       2.495462834340e-02       2.231286116211e+04 
       2.508975005057e-02       2.224957322551e+04 
       2.522501765036e-02       2.218582048350e+04 
       2.536043430887e-02       2.212161503522e+04 
       2.549600327062e-02       2.205696913523e+04 
       2.563172786063e-02       2.199189494984e+04 
       2.576761148670e-02       2.192640419709e+04 
       2.590365764166e-02       2.186050878487e+04 
       2.603986990578e-02       2.179421994958e+04 
       2.617625194920e-02       2.172754947131e+04 
       2.631280753448e-02       2.166050861796e+04 
       2.644954051924e-02       2.159310823318e+04 
       2.658645485886e-02       2.152535963552e+04 
       2.672355460932e-02       2.145727359798e+04 
       2.686084393012e-02       2.138886078258e+04 
       2.699832708726e-02       2.132013181004e+04 
       2.713600845641e-02       2.125109685558e+04 
       2.727389252618e-02       2.118176648327e+04 
       2.741198390140e-02       2.111215057722e+04 
       2.755028730669e-02       2.104225926095e+04 
       2.768880759003e-02       2.097210226375e+04 
       2.782754972652e-02       2.090168928128e+04 
       2.796651882226e-02       2.083102993178e+04 
       2.810572011843e-02       2.076013321537e+04 
       2.824515899542e-02       2.068900885421e+04 
       2.838484097724e-02       2.061766561740e+04 
       2.852477173600e-02       2.054611258608e+04 
       2.866495709663e-02       2.047435830640e+04 
       2.880540304175e-02       2.040241166409e+04 
       2.894611571675e-02       2.033028111386e+04 
       2.908710143505e-02       2.025797488442e+04 
       2.922836668364e-02       2.018550096668e+04 
       2.936991812873e-02       2.011286786169e+04 
       2.951176262171e-02       2.004008328359e+04 
       2.965390720537e-02       1.996715479663e+04 
       2.979635912033e-02       1.989409024387e+04 
       2.993912581171e-02       1.982089681969e+04 
       3.008221493623e-02       1.974758190058e+04 
       3.022563436940e-02       1.967415274859e+04 
       3.036939221320e-02       1.960061637577e+04 
       3.051349680399e-02       1.952697934556e+04 
       3.065795672082e-02       1.945324855259e+04 
       3.080278079406e-02       1.937943069326e+04 
       3.094797811445e-02       1.930553188731e+04 
       3.109355804253e-02       1.923155860363e+04 
       3.123953021853e-02       1.915751675337e+04 
       3.138590457266e-02       1.908341230952e+04 
       3.153269133595e-02       1.900925121574e+04 
       3.167990105151e-02       1.893503908489e+04 
       3.182754458637e-02       1.886078111334e+04 
       3.197563314389e-02       1.878648297698e+04 
       3.212417827671e-02       1.871214986323e+04 
       3.227319190039e-02       1.863778658056e+04 
       3.242268630765e-02       1.856339823933e+04 
       3.257267418340e-02       1.848898933748e+04 
       3.272316862040e-02       1.841456459641e+04 
       3.287418313583e-02       1.834012840374e+04 
       3.302573168860e-02       1.826568502844e+04 
       3.317782869761e-02       1.819123851925e+04 
       3.333048906093e-02       1.811679296889e+04 
       3.348372817598e-02       1.804235209078e+04 
       3.363756196080e-02       1.796791922564e+04 
       3.379200687646e-02       1.789349823699e+04 
       3.394707995060e-02       1.781909240267e+04 
       3.410279880238e-02       1.774470473306e+04 
       3.425918166874e-02       1.767033815949e+04 
       3.441624743207e-02       1.759599570596e+04 
       3.457401564959e-02       1.752167976675e+04 
       3.473250658422e-02       1.744739294583e+04 
       3.489174123742e-02       1.737313767759e+04 
       3.505174138377e-02       1.729891600762e+04 
       3.521252960774e-02       1.722472962406e+04 
       3.537412934252e-02       1.715058079086e+04 
       3.553656491135e-02       1.707647087746e+04 
       3.569986157120e-02       1.700240134829e+04 
       3.586404555929e-02       1.692837350462e+04 
       3.602914414249e-02       1.685438819586e+04 
       3.619518566980e-02       1.678044651598e+04 
       3.636219962824e-02       1.670654916632e+04 
       3.653021670238e-02       1.663269650512e+04 
       3.669926883777e-02       1.655888879238e+04 
       3.686938930862e-02       1.648512630101e+04 
       3.704061278998e-02       1.641140877801e+04 
       3.721297543497e-02       1.633773593446e+04 
       3.738651495728e-02       1.626410722710e+04 
       3.756127071949e-02       1.619052177086e+04 
       3.773728382771e-02       1.611697869918e+04 
