# Matter power spectrum P(k) at redshift z=0
# for k=1.04501e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.340384047153e-02       2.422049003111e+04 
       1.353280406378e-02       2.426382199721e+04 
       1.366180390264e-02       2.430500843075e+04 
       1.379084008407e-02       2.434407630134e+04 
       1.391991272734e-02       2.438105226094e+04 
       1.404902197470e-02       2.441596289112e+04 
       1.417816799094e-02       2.444883431597e+04 
       1.430735096313e-02       2.447969246074e+04 
       1.443657110030e-02       2.450856297951e+04 
       1.456582863319e-02       2.453547133539e+04 
       1.469512381401e-02       2.456044269107e+04 
       1.482445691623e-02       2.458350211989e+04 
       1.495382823446e-02       2.460467436424e+04 
       1.508323808423e-02       2.462398399701e+04 
       1.521268680194e-02       2.464145550480e+04 
       1.534217474470e-02       2.465711293137e+04 
       1.547170229032e-02       2.467098040880e+04 
       1.560126983722e-02       2.468308168160e+04 
       1.573087780442e-02       2.469344028938e+04 
       1.586052663154e-02       2.470207977124e+04 
       1.599021677879e-02       2.470902327153e+04 
       1.611994872706e-02       2.471429387613e+04 
       1.624972297791e-02       2.471791443850e+04 
       1.637954005371e-02       2.471990767665e+04 
       1.650940049766e-02       2.472029600599e+04 
       1.663930487400e-02       2.471910190033e+04 
       1.676925376804e-02       2.471634729885e+04 
       1.689924778640e-02       2.471205440953e+04 
       1.702928755710e-02       2.470624492601e+04 
       1.715937372980e-02       2.469894049783e+04 
       1.728950697597e-02       2.469016267512e+04 
       1.741968798912e-02       2.467993253371e+04 
       1.754991748502e-02       2.466827147811e+04 
       1.768019620200e-02       2.465520039239e+04 
       1.781052490113e-02       2.464074001506e+04 
       1.794090436661e-02       2.462491102815e+04 
       1.807133540598e-02       2.460773403971e+04 
       1.820181885050e-02       2.458922907897e+04 
       1.833235555545e-02       2.456941664111e+04 
       1.846294640051e-02       2.454831657241e+04 
       1.859359229009e-02       2.452594878912e+04 
       1.872429415375e-02       2.450233285175e+04 
       1.885505294660e-02       2.447748852607e+04 
       1.898586964969e-02       2.445143496250e+04 
       1.911674527048e-02       2.442419158174e+04 
       1.924768084328e-02       2.439577740485e+04 
       1.937867742970e-02       2.436621144174e+04 
       1.950973611921e-02       2.433551223093e+04 
       1.964085802957e-02       2.430369866735e+04 
       1.977204430739e-02       2.427078918563e+04 
       1.990329612869e-02       2.423680185371e+04 
       2.003461469945e-02       2.420175523708e+04 
       2.016600125620e-02       2.416566712760e+04 
       2.029745706662e-02       2.412855550111e+04 
       2.042898343018e-02       2.409043794787e+04 
       2.056058167877e-02       2.405133230050e+04 
       2.069225317738e-02       2.401125573989e+04 
       2.082399932479e-02       2.397022566125e+04 
       2.095582155429e-02       2.392825932307e+04 
       2.108772133439e-02       2.388537361916e+04 
       2.121970016962e-02       2.384158531299e+04 
       2.135175960128e-02       2.379691119902e+04 
       2.148390120828e-02       2.375136792280e+04 
       2.161612660793e-02       2.370497168051e+04 
       2.174843745686e-02       2.365773886978e+04 
       2.188083545187e-02       2.360968566738e+04 
       2.201332233084e-02       2.356082798597e+04 
       2.214589987372e-02       2.351118157050e+04 
       2.227856990345e-02       2.346076216186e+04 
       2.241133428700e-02       2.340958541057e+04 
       2.254419493642e-02       2.335766643711e+04 
       2.267715380985e-02       2.330502074201e+04 
       2.281021291270e-02       2.325166336445e+04 
       2.294337429871e-02       2.319760915289e+04 
       2.307664007119e-02       2.314287297878e+04 
       2.321001238418e-02       2.308746965079e+04 
       2.334349344375e-02       2.303141326133e+04 
       2.347708550922e-02       2.297471862783e+04 
       2.361079089455e-02       2.291739981387e+04 
       2.374461196966e-02       2.285947089041e+04 
       2.387855116189e-02       2.280094579098e+04 
       2.401261095742e-02       2.274183813176e+04 
       2.414679390280e-02       2.268216188471e+04 
       2.428110260649e-02       2.262193044264e+04 
       2.441553974047e-02       2.256115674049e+04 
       2.455010804188e-02       2.249985459769e+04 
       2.468481031477e-02       2.243803668852e+04 
       2.481964943182e-02       2.237571613149e+04 
       2.495462833617e-02       2.231290542379e+04 
       2.508975004333e-02       2.224961736074e+04 
       2.522501764311e-02       2.218586449136e+04 
       2.536043430161e-02       2.212165891483e+04 
       2.549600326335e-02       2.205701288569e+04 
       2.563172785336e-02       2.199193857031e+04 
       2.576761147942e-02       2.192644768674e+04 
       2.590365763437e-02       2.186055214289e+04 
       2.603986989848e-02       2.179426317521e+04 
       2.617625194189e-02       2.172759256377e+04 
       2.631280752716e-02       2.166055157653e+04 
       2.644954051191e-02       2.159315105714e+04 
       2.658645485152e-02       2.152540232418e+04 
       2.672355460197e-02       2.145731615067e+04 
       2.686084392276e-02       2.138890319864e+04 
       2.699832707988e-02       2.132017408885e+04 
       2.713600844903e-02       2.125113899653e+04 
       2.727389251879e-02       2.118180848577e+04 
       2.741198389400e-02       2.111219244073e+04 
       2.755028729928e-02       2.104230098488e+04 
       2.768880758260e-02       2.097214384760e+04 
       2.782754971908e-02       2.090173072454e+04 
       2.796651881481e-02       2.083107123394e+04 
       2.810572011096e-02       2.076017437597e+04 
       2.824515898794e-02       2.068904987279e+04 
       2.838484096975e-02       2.061770649353e+04 
       2.852477172850e-02       2.054615331935e+04 
       2.866495708911e-02       2.047439889640e+04 
       2.880540303422e-02       2.040245211044e+04 
       2.894611570920e-02       2.033032141618e+04 
       2.908710142749e-02       2.025801504239e+04 
       2.922836667607e-02       2.018554097993e+04 
       2.936991812114e-02       2.011290772993e+04 
       2.951176261410e-02       2.004012300650e+04 
       2.965390719775e-02       1.996719437393e+04 
       2.979635911269e-02       1.989412967528e+04 
       2.993912580406e-02       1.982093610496e+04 
       3.008221492855e-02       1.974762103948e+04 
       3.022563436170e-02       1.967419174087e+04 
       3.036939220548e-02       1.960065522123e+04 
       3.051349679626e-02       1.952701804398e+04 
       3.065795671307e-02       1.945328710380e+04 
       3.080278078630e-02       1.937946909707e+04 
       3.094797810666e-02       1.930557014357e+04 
       3.109355803472e-02       1.923159671218e+04 
       3.123953021070e-02       1.915755471408e+04 
       3.138590456481e-02       1.908345012225e+04 
       3.153269132807e-02       1.900928888039e+04 
       3.167990104361e-02       1.893507660136e+04 
       3.182754457845e-02       1.886081848152e+04 
       3.197563313595e-02       1.878652019679e+04 
       3.212417826874e-02       1.871218693461e+04 
       3.227319189239e-02       1.863782350344e+04 
       3.242268629963e-02       1.856343501366e+04 
       3.257267417535e-02       1.848902596322e+04 
       3.272316861233e-02       1.841460107351e+04 
       3.287418312773e-02       1.834016473219e+04 
       3.302573168047e-02       1.826572120822e+04 
       3.317782868945e-02       1.819127455034e+04 
       3.333048905273e-02       1.811682885129e+04 
       3.348372816775e-02       1.804238782451e+04 
       3.363756195254e-02       1.796795481070e+04 
       3.379200686816e-02       1.789353367341e+04 
       3.394707994227e-02       1.781912769048e+04 
       3.410279879402e-02       1.774473987228e+04 
       3.425918166034e-02       1.767037315016e+04 
       3.441624742364e-02       1.759603054813e+04 
       3.457401564112e-02       1.752171446047e+04 
       3.473250657571e-02       1.744742749115e+04 
       3.489174122887e-02       1.737317207457e+04 
       3.505174137518e-02       1.729895025633e+04 
       3.521252959910e-02       1.722476372456e+04 
       3.537412933384e-02       1.715061474321e+04 
       3.553656490262e-02       1.707650468175e+04 
       3.569986156242e-02       1.700243500460e+04 
       3.586404555047e-02       1.692840701302e+04 
       3.602914413362e-02       1.685442155642e+04 
       3.619518566088e-02       1.678047972880e+04 
       3.636219961926e-02       1.670658223147e+04 
       3.653021669335e-02       1.663272942270e+04 
       3.669926882869e-02       1.655892156246e+04 
       3.686938929948e-02       1.648515892369e+04 
       3.704061278078e-02       1.641144125336e+04 
       3.721297542570e-02       1.633776826258e+04 
       3.738651494795e-02       1.626413940806e+04 
       3.756127071009e-02       1.619055380475e+04 
       3.773728381824e-02       1.611701058608e+04 
       3.791459722348e-02       1.604350846595e+04 
       3.809325583072e-02       1.597004599202e+04 
       3.827330661574e-02       1.589662144676e+04 
       3.845479875090e-02       1.582323279308e+04 
       3.863778374059e-02       1.574987787765e+04 
       3.882231556714e-02       1.567655417690e+04 
       3.900845084821e-02       1.560325877913e+04 
       3.919624900679e-02       1.552998870189e+04 
       3.938577245499e-02       1.545674061075e+04 
       3.957708679300e-02       1.538351068441e+04 
       3.977026102471e-02       1.531029497944e+04 
       3.996536779166e-02       1.523708907518e+04 
       4.016248362727e-02       1.516388822586e+04 
       4.036168923343e-02       1.509068735486e+04 
       4.056306978180e-02       1.501748094502e+04 
       4.076671524254e-02       1.494426310973e+04 
       4.097272074345e-02       1.487102748256e+04 
       4.118118696295e-02       1.479776726941e+04 
