# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.045e-06 to 1.08254 h/Mpc,
# number of wavenumbers equal to 603
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       7.346811633085e-04      -5.060326727167e-01      -4.855928944624e+00      -4.856492263130e+00      -4.701499472750e-01      -4.855123149589e+00       4.686693105958e-01       4.686807317313e-01 
       7.853916918653e-04      -4.545125467565e-01      -5.545264785641e+00      -5.545967419681e+00      -4.276275179150e-01      -5.544360218044e+00       4.683089365592e-01       4.683192174396e-01 
       8.395792934275e-04      -4.267822915866e-01      -6.331588239656e+00      -6.332459957011e+00      -4.113162746584e-01      -6.330588848051e+00       4.679134416484e-01       4.679216622932e-01 
       8.973779994556e-04      -4.238553923590e-01      -7.226725482681e+00      -7.227800347333e+00      -4.207897610855e-01      -7.225635497621e+00       4.674799466346e-01       4.674857221679e-01 
       9.588894768348e-04      -4.388542693328e-01      -8.243071626605e+00      -8.244387812744e+00      -4.469764916612e-01      -8.241892828316e+00       4.670055625516e-01       4.670090876467e-01 
       1.024177875236e-03      -4.572775673715e-01      -9.393378584885e+00      -9.394977892605e+00      -4.728245723916e-01      -9.392107507374e+00       4.664875777123e-01       4.664895302527e-01 
       1.093266350806e-03      -4.611953624248e-01      -1.069050796624e+01      -1.069243502414e+01      -4.782693481001e-01      -1.068913423424e+01       4.659236954363e-01       4.659249944907e-01 
       1.166135693390e-03      -4.371023341217e-01      -1.214716558707e+01      -1.214946677549e+01      -4.490470538891e-01      -1.214567251662e+01       4.653122668226e-01       4.653137434167e-01 
       1.242725245303e-03      -3.843198277008e-01      -1.377563752684e+01      -1.377835971457e+01      -3.858074574051e-01      -1.377400519868e+01       4.646524401171e-01       4.646545401822e-01 
       1.322936017084e-03      -3.184595171194e-01      -1.558754787631e+01      -1.559073712494e+01      -3.075064980018e-01      -1.558575726176e+01       4.639441607130e-01       4.639468166201e-01 
       1.406635640521e-03      -2.651842961643e-01      -1.759361482838e+01      -1.759731537301e+01      -2.440488114024e-01      -1.759165025380e+01       4.631869508180e-01       4.631896986087e-01 
       1.493664607275e-03      -2.449438949409e-01      -1.980358272012e+01      -1.980783612866e+01      -2.192230911834e-01      -1.980142980298e+01       4.623822511240e-01       4.623845448224e-01 
       1.583843155860e-03      -2.573329615338e-01      -2.222609529944e+01      -2.223094033558e+01      -2.335549806669e-01      -2.222373474173e+01       4.615318859317e-01       4.615334351686e-01 
       1.676978192906e-03      -2.778028198942e-01      -2.486861365001e+01      -2.487408701259e+01      -2.607955646979e-01      -2.486601480370e+01       4.606371604587e-01       4.606380858066e-01 
       1.772869742211e-03      -2.733252368930e-01      -2.773744205145e+01      -2.774357988892e+01      -2.648215975179e-01      -2.773456188025e+01       4.596996036691e-01       4.597003124519e-01 
       1.871316568977e-03      -2.284996692012e-01      -3.083776988952e+01      -3.084461007018e+01      -2.274582017361e-01      -3.083456043025e+01       4.587210823453e-01       4.587219598610e-01 
       1.972120788307e-03      -1.611815729114e-01      -3.417374179012e+01      -3.418132671828e+01      -1.649537352892e-01      -3.417016274648e+01       4.577038130747e-01       4.577049600259e-01 
       2.075091407930e-03      -1.109912796087e-01      -3.774854606115e+01      -3.775692572658e+01      -1.160868527023e-01      -3.774457414549e+01       4.566502192951e-01       4.566514286621e-01 
       2.180046860131e-03      -1.063535515495e-01      -4.156451256244e+01      -4.157374746096e+01      -1.086207968324e-01      -4.156014094956e+01       4.555627123157e-01       4.555636851296e-01 
       2.286816643592e-03      -1.379831244849e-01      -4.562321303681e+01      -4.563337659116e+01      -1.333111942831e-01      -4.561844264164e+01       4.544435443595e-01       4.544441505578e-01 
       2.395242227418e-03      -1.653104692455e-01      -4.992555847033e+01      -4.993673862913e+01      -1.516653828830e-01      -4.992039054991e+01       4.532948146654e-01       4.532951799998e-01 
       2.505177375292e-03      -1.532147715127e-01      -5.447189039651e+01      -5.448419016509e+01      -1.328007571444e-01      -5.446632902556e+01       4.521185805920e-01       4.521189458638e-01 
