# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:gr.fac. D_wCDM         6:gr.fac. D          
       6.861334464875e+13       1.605530816817e-25       6.755726644769e-09       1.015727552764e+22       1.457442433566e-14       1.140782163435e-17 
       6.813638991932e+13       1.628086919262e-25       6.803020369262e-09       1.001655297490e+22       1.467644530601e-14       1.156809012049e-17 
       6.766275066466e+13       1.650959912391e-25       6.850314093754e-09       9.877780043072e+21       1.477918042315e-14       1.173061021859e-17 
       6.719240383780e+13       1.674154248200e-25       6.897607818246e-09       9.740929721418e+21       1.488263468612e-14       1.189541356155e-17 
       6.672532655193e+13       1.697674441233e-25       6.946720532142e-09       9.605975373399e+21       1.498681312892e-14       1.206253222667e-17 
       6.626149607938e+13       1.721525069457e-25       6.994014256634e-09       9.472890731514e+21       1.509172082082e-14       1.223199874192e-17 
       6.580088985043e+13       1.745710775158e-25       7.043126970530e-09       9.341649892180e+21       1.519736286657e-14       1.240384609225e-17 
       6.534348545226e+13       1.770236265838e-25       7.092239684425e-09       9.212227310694e+21       1.530374440663e-14       1.257810772599e-17 
       6.488926062786e+13       1.795106315137e-25       7.143171387725e-09       9.084597796256e+21       1.541087061748e-14       1.275481756143e-17 
       6.443819327494e+13       1.820325763758e-25       7.192284101620e-09       8.958736507070e+21       1.551874671180e-14       1.293400999335e-17 
       6.399026144483e+13       1.845899520413e-25       7.243215804920e-09       8.834618945506e+21       1.562737793879e-14       1.311571989975e-17 
       6.354544334144e+13       1.871832562775e-25       7.294147508219e-09       8.712220953334e+21       1.573676958436e-14       1.329998264861e-17 
       6.310371732019e+13       1.898129938449e-25       7.345079211518e-09       8.591518707021e+21       1.584692697145e-14       1.348683410484e-17 
       6.266506188699e+13       1.924796765954e-25       7.396010914817e-09       8.472488713092e+21       1.595785546025e-14       1.367631063718e-17 
       6.222945569711e+13       1.951838235719e-25       7.448761607520e-09       8.355107803562e+21       1.606956044847e-14       1.386844912532e-17 
       6.179687755423e+13       1.979259611092e-25       7.499693310820e-09       8.239353131420e+21       1.618204737161e-14       1.406328696707e-17 
       6.136730640936e+13       2.007066229368e-25       7.552444003522e-09       8.125202166189e+21       1.629532170321e-14       1.426086208567e-17 
       6.094072135984e+13       2.035263502824e-25       7.605194696225e-09       8.012632689535e+21       1.640938895513e-14       1.446121293711e-17 
       6.051710164830e+13       2.063856919775e-25       7.657945388928e-09       7.901622790946e+21       1.652425467782e-14       1.466437851766e-17 
       6.009642666167e+13       2.092852045641e-25       7.712515071034e-09       7.792150863467e+21       1.663992446056e-14       1.487039837145e-17 
       5.967867593016e+13       2.122254524030e-25       7.767084753141e-09       7.684195599491e+21       1.675640393179e-14       1.507931259817e-17 
       5.926382912628e+13       2.152070077838e-25       7.821654435247e-09       7.577735986617e+21       1.687369875931e-14       1.529116186086e-17 
       5.885186606383e+13       2.182304510361e-25       7.876224117354e-09       7.472751303555e+21       1.699181465062e-14       1.550598739383e-17 
       5.844276669695e+13       2.212963706427e-25       7.930793799460e-09       7.369221116096e+21       1.711075735318e-14       1.572383101073e-17 
       5.803651111912e+13       2.244053633538e-25       7.985363481566e-09       7.267125273135e+21       1.723053265465e-14       1.594473511259e-17 
       5.763307956218e+13       2.275580343036e-25       8.041752153076e-09       7.166443902747e+21       1.735114638323e-14       1.616874269619e-17 
       5.723245239541e+13       2.307549971275e-25       8.098140824586e-09       7.067157408319e+21       1.747260440792e-14       1.639589736232e-17 
       5.683461012454e+13       2.339968740821e-25       8.154529496096e-09       6.969246464738e+21       1.759491263877e-14       1.662624332436e-17 
       5.643953339081e+13       2.372842961661e-25       8.212737157010e-09       6.872692014626e+21       1.771807702724e-14       1.685982541682e-17 
       5.604720297002e+13       2.406179032429e-25       8.269125828519e-09       6.777475264634e+21       1.784210356643e-14       1.709668910409e-17 
       5.565759977162e+13       2.439983441655e-25       8.327333489433e-09       6.683577681784e+21       1.796699829140e-14       1.733688048931e-17 
       5.527070483775e+13       2.474262769027e-25       8.385541150346e-09       6.590980989859e+21       1.809276727944e-14       1.758044632330e-17 
       5.488649934235e+13       2.509023686668e-25       8.443748811260e-09       6.499667165848e+21       1.821941665039e-14       1.782743401369e-17 
       5.450496459022e+13       2.544272960442e-25       8.503775461577e-09       6.409618436435e+21       1.834695256695e-14       1.807789163415e-17 
       5.412608201611e+13       2.580017451263e-25       8.563802111894e-09       6.320817274547e+21       1.847538123492e-14       1.833186793371e-17 
       5.374983318382e+13       2.616264116435e-25       8.623828762211e-09       6.233246395932e+21       1.860470890356e-14       1.858941234631e-17 
       5.337619978533e+13       2.653020011007e-25       8.683855412528e-09       6.146888755803e+21       1.873494186589e-14       1.885057500035e-17 
       5.300516363985e+13       2.690292289141e-25       8.743882062845e-09       6.061727545517e+21       1.886608645895e-14       1.911540672853e-17 
       5.263670669300e+13       2.728088205511e-25       8.805727702565e-09       5.977746189305e+21       1.899814906416e-14       1.938395907765e-17 
       5.227081101588e+13       2.766415116710e-25       8.867573342286e-09       5.894928341043e+21       1.913113610761e-14       1.965628431873e-17 
       5.190745880425e+13       2.805280482684e-25       8.929418982007e-09       5.813257881073e+21       1.926505406036e-14       1.993243545712e-17 
       5.154663237761e+13       2.844691868185e-25       8.991264621727e-09       5.732718913065e+21       1.939990943878e-14       2.021246624285e-17 
       5.118831417836e+13       2.884656944241e-25       9.054929250851e-09       5.653295760921e+21       1.953570880486e-14       2.049643118109e-17 
       5.083248677097e+13       2.925183489650e-25       9.118593879975e-09       5.574972965727e+21       1.967245876649e-14       2.078438554274e-17 
       5.047913284108e+13       2.966279392496e-25       9.182258509099e-09       5.497735282741e+21       1.981016597786e-14       2.107638537523e-17 
       5.012823519472e+13       3.007952651680e-25       9.245923138224e-09       5.421567678428e+21       1.994883713970e-14       2.137248751336e-17 
       4.977977675741e+13       3.050211378483e-25       9.311406756751e-09       5.346455327533e+21       2.008847899968e-14       2.167274959042e-17 
       4.943374057340e+13       3.093063798139e-25       9.375071385875e-09       5.272383610194e+21       2.022909835268e-14       2.197723004941e-17 
       4.909010980477e+13       3.136518251439e-25       9.442373993807e-09       5.199338109101e+21       2.037070204114e-14       2.228598815437e-17 
       4.874886773065e+13       3.180583196353e-25       9.507857612334e-09       5.127304606683e+21       2.051329695543e-14       2.259908400194e-17 
       4.840999774643e+13       3.225267209678e-25       9.575160220265e-09       5.056269082346e+21       2.065689003412e-14       2.291657853308e-17 
