# Matter power spectrum P(k) at redshift z=0
# for k=1.04502e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.340384064368e-02       2.443761171962e+04 
       1.353280423598e-02       2.448333114453e+04 
       1.366180407489e-02       2.452688986913e+04 
       1.379084025637e-02       2.456831452681e+04 
       1.391991289969e-02       2.460763144046e+04 
       1.404902214709e-02       2.464486687202e+04 
       1.417816816338e-02       2.468004663149e+04 
       1.430735113562e-02       2.471319633800e+04 
       1.443657127284e-02       2.474434134665e+04 
       1.456582880578e-02       2.477350682937e+04 
       1.469512398665e-02       2.480071766433e+04 
       1.482445708893e-02       2.482599864902e+04 
       1.495382840721e-02       2.484937425611e+04 
       1.508323825703e-02       2.487086879642e+04 
       1.521268697479e-02       2.489050650296e+04 
       1.534217491760e-02       2.490831117054e+04 
       1.547170246327e-02       2.492430669245e+04 
       1.560127001023e-02       2.493851657942e+04 
       1.573087797748e-02       2.495096414408e+04 
       1.586052680465e-02       2.496167270768e+04 
       1.599021695197e-02       2.497066520126e+04 
       1.611994890029e-02       2.497796450562e+04 
       1.624972315120e-02       2.498359327539e+04 
       1.637954022705e-02       2.498757403694e+04 
       1.650940067106e-02       2.498992901934e+04 
       1.663930504746e-02       2.499068051932e+04 
       1.676925394156e-02       2.498985030130e+04 
       1.689924795998e-02       2.498746041023e+04 
       1.702928773075e-02       2.498353237905e+04 
       1.715937390351e-02       2.497808770446e+04 
       1.728950714974e-02       2.497114779089e+04 
       1.741968816295e-02       2.496273357093e+04 
       1.754991765892e-02       2.495286631810e+04 
       1.768019637596e-02       2.494156678721e+04 
       1.781052507516e-02       2.492885559378e+04 
       1.794090454071e-02       2.491475330411e+04 
       1.807133558015e-02       2.489928041759e+04 
       1.820181902474e-02       2.488245685532e+04 
       1.833235572976e-02       2.486430301809e+04 
       1.846294657489e-02       2.484483865727e+04 
       1.859359246455e-02       2.482408360279e+04 
       1.872429432829e-02       2.480205733183e+04 
       1.885505312121e-02       2.477877953713e+04 
       1.898586982438e-02       2.475426929544e+04 
       1.911674544525e-02       2.472854596485e+04 
       1.924768101813e-02       2.470162850593e+04 
       1.937867760464e-02       2.467353587520e+04 
       1.950973629423e-02       2.464428655875e+04 
       1.964085820467e-02       2.461389941108e+04 
       1.977204448257e-02       2.458239282735e+04 
       1.990329630396e-02       2.454978483794e+04 
       2.003461487481e-02       2.451609398479e+04 
       2.016600143165e-02       2.448133803240e+04 
       2.029745724217e-02       2.444553493872e+04 
       2.042898360582e-02       2.440870227753e+04 
       2.056058185451e-02       2.437085787521e+04 
       2.069225335322e-02       2.433201890383e+04 
       2.082399950073e-02       2.429220275952e+04 
       2.095582173033e-02       2.425142670636e+04 
       2.108772151054e-02       2.420970764499e+04 
