# Matter power spectrum P(k) at redshift z=0
# for k=1.04501e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.340384054718e-02       2.443817334385e+04 
       1.353280413945e-02       2.448389382101e+04 
       1.366180397834e-02       2.452745354820e+04 
       1.379084015979e-02       2.456887915939e+04 
       1.391991280308e-02       2.460819697809e+04 
       1.404902205046e-02       2.464543326684e+04 
       1.417816806672e-02       2.468061383624e+04 
       1.430735103893e-02       2.471376430600e+04 
       1.443657117613e-02       2.474491003180e+04 
       1.456582870904e-02       2.477407618617e+04 
       1.469512388988e-02       2.480128764784e+04 
       1.482445699213e-02       2.482656921487e+04 
       1.495382831038e-02       2.484994536048e+04 
       1.508323816017e-02       2.487144039605e+04 
       1.521268687790e-02       2.489107855518e+04 
       1.534217482069e-02       2.490888363319e+04 
       1.547170236633e-02       2.492487952393e+04 
       1.560126991325e-02       2.493908973867e+04 
       1.573087788048e-02       2.495153759060e+04 
       1.586052670762e-02       2.496224640147e+04 
       1.599021685490e-02       2.497123910286e+04 
       1.611994880319e-02       2.497853857610e+04 
       1.624972305407e-02       2.498416747633e+04 
       1.637954012989e-02       2.498814833047e+04 
       1.650940057387e-02       2.499050336806e+04 
       1.663930495023e-02       2.499125488636e+04 
       1.676925384430e-02       2.499042465030e+04 
       1.689924786269e-02       2.498803470532e+04 
       1.702928763342e-02       2.498410658487e+04 
       1.715937380614e-02       2.497866178613e+04 
       1.728950705234e-02       2.497172171403e+04 
       1.741968806551e-02       2.496330730164e+04 
       1.754991756145e-02       2.495343982297e+04 
       1.768019627845e-02       2.494214003332e+04 
       1.781052497761e-02       2.492942854866e+04 
       1.794090444312e-02       2.491532593576e+04 
       1.807133548252e-02       2.489985269451e+04 
       1.820181892707e-02       2.488302874644e+04 
       1.833235563206e-02       2.486487449283e+04 
       1.846294647714e-02       2.484540968548e+04 
       1.859359236676e-02       2.482465415482e+04 
       1.872429423046e-02       2.480262737843e+04 
       1.885505302334e-02       2.477934904952e+04 
       1.898586972647e-02       2.475483824529e+04 
       1.911674534729e-02       2.472911432426e+04 
       1.924768092012e-02       2.470219624744e+04 
       1.937867750658e-02       2.467410297179e+04 
       1.950973619613e-02       2.464485298381e+04 
