# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       4.064281539649e-01       1.253977504938e+04       1.165804879985e+00       8.805876486661e-07       9.989562240398e-01       8.796685124476e-07       7.064963644532e-01       1.814902980111e-13       1.904726767678e-06 
       4.273054439568e-01       1.246597466948e+04       1.165804849463e+00       9.069248872610e-07       9.988903311081e-01       9.059185009263e-07       7.267815067459e-01       1.866021804785e-13       2.044629506245e-06 
       4.486066158924e-01       1.239161954835e+04       1.165804815581e+00       9.341968341624e-07       9.988219563338e-01       9.330963094989e-07       7.477315289773e-01       1.918761006896e-13       2.191972708137e-06 
       4.703423693647e-01       1.231672148457e+04       1.165804777900e+00       9.624416136675e-07       9.987510103280e-01       9.612395340322e-07       7.693700672402e-01       1.973174966404e-13       2.347155798283e-06 
       4.925236050993e-01       1.224129314555e+04       1.165804735916e+00       9.916989417880e-07       9.986774010920e-01       9.903873218506e-07       7.917215023538e-01       2.029319543853e-13       2.510598961379e-06 
       5.151614212918e-01       1.216534807128e+04       1.165804689049e+00       1.022010183464e-06       9.986010339912e-01       1.020580425957e-06       8.148109673515e-01       2.087252071734e-13       2.682744112619e-06 
       5.382671096257e-01       1.208890067426e+04       1.165804636632e+00       1.053418411162e-06       9.985218117316e-01       1.051861260425e-06       8.386643535635e-01       2.147031340598e-13       2.864055905551e-06 
       5.618521510040e-01       1.201196623536e+04       1.165804577889e+00       1.085968464882e-06       9.984396343389e-01       1.084273956980e-06       8.633083151808e-01       2.208717579553e-13       3.055022778470e-06 
       5.859282110399e-01       1.193456089548e+04       1.165804511927e+00       1.119707013637e-06       9.983543991385e-01       1.117864422811e-06       8.887702721933e-01       2.272372430849e-13       3.256158040832e-06 
       6.105071353985e-01       1.185670164257e+04       1.165804437703e+00       1.154682618522e-06       9.982660007375e-01       1.152680399713e-06       9.150784116445e-01       2.338058918123e-13       3.468001001772e-06 
       6.356009450144e-01       1.177840629412e+04       1.165804354010e+00       1.190945797404e-06       9.981743310083e-01       1.188771524590e-06       9.422616870642e-01       2.405841407829e-13       3.691118142660e-06 
       6.612218311426e-01       1.169969347528e+04       1.165804259436e+00       1.228549091181e-06       9.980792790729e-01       1.226189391232e-06       9.703498158639e-01       2.475785563644e-13       3.926104334797e-06 
       6.873821504360e-01       1.162058259237e+04       1.165804152334e+00       1.267547131882e-06       9.979807312883e-01       1.264987613618e-06       9.993732747327e-01       2.547958293450e-13       4.173584105143e-06 
       7.140944201158e-01       1.154109380150e+04       1.165804030772e+00       1.307996712723e-06       9.978785712320e-01       1.305221890868e-06       1.029363292935e+00       2.622427688612e-13       4.434212952869e-06 
       7.413713134092e-01       1.146124797224e+04       1.165803892487e+00       1.349956860417e-06       9.977726796868e-01       1.346950074080e-06       1.060351843530e+00       2.699262954702e-13       4.708678720815e-06 
       7.692256549681e-01       1.138106664753e+04       1.165803734811e+00       1.393488909345e-06       9.976629346250e-01       1.390232234664e-06       1.092371631992e+00       2.778534333626e-13       4.997703021937e-06 
       7.976704165705e-01       1.130057199929e+04       1.165803554601e+00       1.438656578056e-06       9.975492111926e-01       1.435130734617e-06       1.125456082407e+00       2.860313016910e-13       5.302042725354e-06 
       8.267187133656e-01       1.121978677945e+04       1.165803348139e+00       1.485526048593e-06       9.974313816903e-01       1.481710299185e-06       1.159639321341e+00       2.944671049435e-13       5.622491507634e-06 
       8.563838006262e-01       1.113873426699e+04       1.165803111019e+00       1.534166048665e-06       9.973093155511e-01       1.530038091936e-06       1.194956159169e+00       3.031681222576e-13       5.959881472912e-06 
       8.866790705954e-01       1.105743821274e+04       1.165802838006e+00       1.584647936074e-06       9.971828793183e-01       1.580183791600e-06       1.231442068145e+00       3.121416957411e-13       6.315084840876e-06 
       9.176180501973e-01       1.097592278016e+04       1.165802522864e+00       1.637045786731e-06       9.970519366168e-01       1.632219671990e-06       1.269133157956e+00       3.213952177071e-13       6.689015714772e-06 
       9.492143997134e-01       1.089421248262e+04       1.165802158143e+00       1.691436486589e-06       9.969163481201e-01       1.686220685287e-06       1.308066148681e+00       3.309361166246e-13       7.082631934745e-06 
       9.814819115231e-01       1.081233212056e+04       1.165801734924e+00       1.747899826103e-06       9.967759715150e-01       1.742264547274e-06       1.348278339798e+00       3.407718419464e-13       7.496937010324e-06 
       1.014434510038e+00       1.073030671516e+04       1.165801242493e+00       1.806518599234e-06       9.966306614584e-01       1.800431826491e-06       1.389807576458e+00       3.509098476474e-13       7.932982153298e-06 
       1.048086252867e+00       1.064816144004e+04       1.165800667954e+00       1.867378707311e-06       9.964802695263e-01       1.860806037569e-06       1.432692212831e+00       3.613575742145e-13       8.391868414255e-06 
       1.082451332067e+00       1.056592155476e+04       1.165799995730e+00       1.930569265859e-06       9.963246441613e-01       1.923473736836e-06       1.476971070791e+00       3.721224294087e-13       8.874748913106e-06 
       1.117544077307e+00       1.048361233447e+04       1.165799206964e+00       1.996182717823e-06       9.961636306053e-01       1.988524623538e-06       1.522683396087e+00       3.832117673158e-13       9.382831202517e-06 
       1.153378959913e+00       1.040125900135e+04       1.165798278751e+00       2.064314951604e-06       9.959970708277e-01       2.056051645064e-06       1.569868810364e+00       3.946328657187e-13       9.917379746268e-06 
       1.189970597729e+00       1.031888665701e+04       1.165797183192e+00       2.135065423880e-06       9.958248034450e-01       2.126151106078e-06       1.618567258636e+00       4.063929019676e-13       1.047971852688e-05 
       1.227333762520e+00       1.023652021195e+04       1.165795886204e+00       2.208537290735e-06       9.956466636227e-01       2.198922785007e-06       1.668818954285e+00       4.184989265675e-13       1.107123382182e-05 
       1.265483387655e+00       1.015418432095e+04       1.165794346021e+00       2.284837542960e-06       9.954624829755e-01       2.274470053711e-06       1.720664318106e+00       4.309578352700e-13       1.169337710465e-05 
       1.304434578909e+00       1.007190331391e+04       1.165792511299e+00       2.364077151201e-06       9.952720894420e-01       2.352900005878e-06       1.774143915065e+00       4.437763386580e-13       1.234766815870e-05 
       1.344202626672e+00       9.989701131733e+03       1.165790318725e+00       2.446371217807e-06       9.950753071529e-01       2.434323590969e-06       1.829298385932e+00       4.569609297775e-13       1.303569835361e-05 
       1.384803021121e+00       9.907601260580e+03       1.165787689972e+00       2.531839138557e-06       9.948719562743e-01       2.518855756748e-06       1.886168375655e+00       4.705178494069e-13       1.375913415545e-05 
       1.426251470865e+00       9.825626666395e+03       1.165784527820e+00       2.620604775494e-06       9.946618528292e-01       2.606615601526e-06       1.944794458812e+00       4.844530487239e-13       1.451972088234e-05 
       1.468563924982e+00       9.743799731109e+03       1.165780711195e+00       2.712796640602e-06       9.944448084949e-01       2.697726535750e-06       2.005217061538e+00       4.987721498804e-13       1.531928672220e-05 
       1.511756601178e+00       9.662142183553e+03       1.165776088808e+00       2.808548096083e-06       9.942206303577e-01       2.792316458478e-06       2.067476383598e+00       5.134804034423e-13       1.615974711409e-05 
       1.555846019259e+00       9.580675032863e+03       1.165770470952e+00       2.907997569201e-06       9.939891206360e-01       2.890517946622e-06       2.131612318826e+00       5.285826440695e-13       1.704310946598e-05 
       1.600849044536e+00       9.499418490774e+03       1.165763618916e+00       3.011288791326e-06       9.937500763320e-01       2.992468466238e-06       2.197664380554e+00       5.440832428572e-13       1.797147840514e-05 
       1.646782940931e+00       9.418391893484e+03       1.165755231244e+00       3.118571059882e-06       9.935032888284e-01       3.098310604438e-06       2.265671631036e+00       5.599860584672e-13       1.894706152922e-05 
       1.693665440396e+00       9.337613604990e+03       1.165744925848e+00       3.229999536990e-06       9.932485433690e-01       3.208192335198e-06       2.335672624764e+00       5.762943853064e-13       1.997217596184e-05 
       1.741514830625e+00       9.257100911988e+03       1.165732216646e+00       3.345735587487e-06       9.929856184330e-01       3.322267321454e-06       2.407705368042e+00       5.930109016044e-13       2.104925573918e-05 
       1.790350070720e+00       9.176869888677e+03       1.165716482909e+00       3.465947176322e-06       9.927142849157e-01       3.440695272698e-06       2.481807309737e+00       6.101376160257e-13       2.218086048289e-05 
       1.840190941489e+00       9.096935237061e+03       1.165696928893e+00       3.590809337333e-06       9.924343050981e-01       3.563642369436e-06       2.558015373053e+00       6.276758164430e-13       2.336968555600e-05 
       1.891058245574e+00       9.017310077303e+03       1.165672530479e+00       3.720504744606e-06       9.921454312801e-01       3.691281784417e-06       2.636366052297e+00       6.456260208620e-13       2.461857441018e-05 
       1.942974073498e+00       8.938005683153e+03       1.165641964311e+00       3.855224417999e-06       9.918474039950e-01       3.823794330811e-06       2.716895599687e+00       6.639879349986e-13       2.593053371387e-05 
       1.995962161600e+00       8.859031131529e+03       1.165603513333e+00       3.995168616264e-06       9.915399496130e-01       3.961369288465e-06       2.799640343665e+00       6.827604196543e-13       2.730875244142e-05 
       2.050048376429e+00       8.780392840386e+03       1.165554940254e+00       4.140547989144e-06       9.912227771153e-01       4.104205476578e-06       2.884637193809e+00       7.019414736220e-13       2.875662636035e-05 
       2.105261373819e+00       8.702093952653e+03       1.165493317312e+00       4.291585089119e-06       9.908955737106e-01       4.252512669011e-06       2.971924409517e+00       7.215282413132e-13       3.027779006585e-05 
       2.161633503518e+00       8.624133502689e+03       1.165414796097e+00       4.448516394343e-06       9.905579988024e-01       4.406513497220e-06       3.061542746370e+00       7.415170536666e-13       3.187615976721e-05 
       2.219202055340e+00       8.546505294156e+03       1.165314294718e+00       4.611595048182e-06       9.902096756777e-01       4.566446037017e-06       3.153537133271e+00       7.619035212987e-13       3.355599113490e-05 
       2.278010990616e+00       8.469196361005e+03       1.165185070264e+00       4.781094630654e-06       9.898501798877e-01       4.732567380213e-06       3.247959110659e+00       7.826826965318e-13       3.532195906611e-05 
