# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       4.924971756949e-01       1.224157752277e+04       1.165804735968e+00       9.916638204043e-07       9.986774482347e-01       9.903522936680e-07       7.917011303507e-01       2.029266175839e-13       2.510483671169e-06 
       5.151338054726e-01       1.216563117871e+04       1.165804689109e+00       1.021972928884e-06       9.986010825988e-01       1.020543273170e-06       8.147891787588e-01       2.087195073544e-13       2.682622415783e-06 
       5.382383153707e-01       1.208918223774e+04       1.165804636700e+00       1.053378974491e-06       9.985218616635e-01       1.051821934646e-06       8.386411227045e-01       2.146970653513e-13       2.863927816600e-06 
       5.618221912168e-01       1.201224597175e+04       1.165804577968e+00       1.085926802788e-06       9.984396854309e-01       1.084232415377e-06       8.632836211201e-01       2.208653157592e-13       3.054888361905e-06 
       5.858971038052e-01       1.193483851364e+04       1.165804512016e+00       1.119663089103e-06       9.983544512017e-01       1.117820628852e-06       8.887440992695e-01       2.272304242108e-13       3.256017417208e-06 
       6.104749042058e-01       1.185697684458e+04       1.165804437805e+00       1.154636401596e-06       9.982660535572e-01       1.152634323915e-06       9.150507499939e-01       2.337986946083e-13       3.467854353874e-06 
       6.355676189443e-01       1.177867877657e+04       1.165804354127e+00       1.190897265956e-06       9.981743843426e-01       1.188723145261e-06       9.422325331293e-01       2.405765652614e-13       3.690965721715e-06 
       6.611874450091e-01       1.169996293082e+04       1.165804259570e+00       1.228498231629e-06       9.980793326523e-01       1.226138695189e-06       9.703191728745e-01       2.475706043192e-13       3.925946466633e-06 
       6.873467448755e-01       1.162084871135e+04       1.165804152486e+00       1.267493939894e-06       9.979807848148e-01       1.264934596883e-06       9.993411531494e-01       2.547875044574e-13       4.173421196169e-06 
       7.140580416185e-01       1.154135627379e+04       1.165804030947e+00       1.307941193865e-06       9.978786243790e-01       1.305166559303e-06       1.029329710844e+00       2.622340767933e-13       4.434045495746e-06 
       7.413340142875e-01       1.146150648919e+04       1.165803892686e+00       1.349899030746e-06       9.977727320990e-01       1.346892443966e-06       1.060316826975e+00       2.699172439413e-13       4.708507299705e-06 
       7.691874932599e-01       1.138132090398e+04       1.165803735039e+00       1.393428795925e-06       9.976629859187e-01       1.390172333207e-06       1.092335215247e+00       2.778440322068e-13       4.997528317206e-06 
       7.976314558705e-01       1.130082169577e+04       1.165803554862e+00       1.438594219384e-06       9.975492609566e-01       1.435068600362e-06       1.125418308159e+00       2.860215628930e-13       5.301865517561e-06 
       8.266790225800e-01       1.122003162437e+04       1.165803348438e+00       1.485461494913e-06       9.974314294866e-01       1.481645982319e-06       1.159600240783e+00       2.944570426514e-13       5.622312680648e-06 
       8.563434536570e-01       1.113897397887e+04       1.165803111361e+00       1.534099362175e-06       9.973093609169e-01       1.529971654474e-06       1.194915832002e+00       3.031577527696e-13       5.959702016086e-06 
       8.866381459527e-01       1.105767252246e+04       1.165802838398e+00       1.584579191001e-06       9.971829217674e-01       1.580115307455e-06       1.231400562472e+00       3.121310374649e-13       6.314905850123e-06 
       9.175766305348e-01       1.097615143315e+04       1.165802523313e+00       1.636975069261e-06       9.970519756424e-01       1.632149226884e-06       1.269090550064e+00       3.213842910918e-13       6.688838392357e-06 
       9.491725713005e-01       1.089443524100e+04       1.165802158657e+00       1.691363894658e-06       9.969163831972e-01       1.686148376533e-06       1.308022522715e+00       3.309249440643e-13       7.082457587811e-06 
       9.814397636590e-01       1.081254876512e+04       1.165801735513e+00       1.747825469042e-06       9.967760021036e-01       1.742190483406e-06       1.348233787326e+00       3.407604476548e-13       7.496767048062e-06 
       1.014392134404e+00       1.073051704724e+04       1.165801243169e+00       1.806442597249e-06       9.966306870069e-01       1.800356126734e-06       1.389762195915e+00       3.508982575060e-13       7.932818082563e-06 
       1.048043742841e+00       1.064836528320e+04       1.165800668729e+00       1.867301190830e-06       9.964802894755e-01       1.860728831176e-06       1.432646108871e+00       3.613458155956e-13       8.391711833855e-06 
       1.082408782005e+00       1.056611875618e+04       1.165799996621e+00       1.930490374732e-06       9.963246579480e-01       1.923395162276e-06       1.476924353537e+00       3.721105309727e-13       8.874601506621e-06 
       1.117501581790e+00       1.048380276624e+04       1.165799207988e+00       1.996102600379e-06       9.961636376670e-01       1.988444827551e-06       1.522636180292e+00       3.831997587916e-13       9.382694729611e-06 
       1.153336613000e+00       1.040144256133e+04       1.165798279928e+00       2.064233763607e-06       9.959970706065e-01       2.055970781599e-06       1.569821214501e+00       3.946207776632e-13       9.917256032929e-06 
       1.189928492196e+00       1.031906326948e+04       1.165797184547e+00       2.134983327357e-06       9.958247953925e-01       2.126069335131e-06       1.618519403927e+00       4.063807655142e-13       1.047960945423e-05 
       1.227291989125e+00       1.023668982797e+04       1.165795887765e+00       2.208454452730e-06       9.956466472039e-01       2.198840271363e-06       1.668770963681e+00       4.184867731656e-13       1.107114131401e-05 
       1.265442034426e+00       1.015434691839e+04       1.165794347820e+00       2.284754134226e-06       9.954624576734e-01       2.274386965636e-06       1.720616315255e+00       4.309456964173e-13       1.169330311594e-05 
       1.304393730467e+00       1.007205889718e+04       1.165792513376e+00       2.363993344823e-06       9.952720547620e-01       2.352816513746e-06       1.774096023251e+00       4.437642456373e-13       1.234761465964e-05 
       1.344162363612e+00       9.989849731187e+03       1.165790321126e+00       2.446287187835e-06       9.950752626264e-01       2.434239865895e-06       1.829250727040e+00       4.569489133923e-13       1.303566731708e-05 
