# Matter power spectrum P(k) at redshift z=0
# for k=1.04502e-06 to 8.69125 h/Mpc,
# number of wavenumbers equal to 576
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.340384065520e-02       2.421893558608e+04 
       1.353280424750e-02       2.426226479597e+04 
       1.366180408642e-02       2.430344861110e+04 
       1.379084026789e-02       2.434251399932e+04 
       1.391991291122e-02       2.437948761092e+04 
       1.404902215863e-02       2.441439602573e+04 
       1.417816817492e-02       2.444726536616e+04 
       1.430735114716e-02       2.447812155577e+04 
       1.443657128439e-02       2.450699024703e+04 
       1.456582881733e-02       2.453389690136e+04 
       1.469512399820e-02       2.455886667987e+04 
       1.482445710048e-02       2.458192465427e+04 
       1.495382841877e-02       2.460309556535e+04 
       1.508323826859e-02       2.462240398442e+04 
       1.521268698635e-02       2.463987439651e+04 
       1.534217492917e-02       2.465553084384e+04 
       1.547170247485e-02       2.466939745692e+04 
       1.560127002180e-02       2.468149797875e+04 
       1.573087798906e-02       2.469185594739e+04 
       1.586052681624e-02       2.470049490045e+04 
       1.599021696356e-02       2.470743798081e+04 
       1.611994891188e-02       2.471270827283e+04 
       1.624972316280e-02       2.471632862850e+04 
       1.637954023865e-02       2.471832176438e+04 
       1.650940068267e-02       2.471871009446e+04 
       1.663930505907e-02       2.471751609108e+04 
       1.676925395318e-02       2.471476169199e+04 
       1.689924797160e-02       2.471046910378e+04 
       1.702928774237e-02       2.470466001868e+04 
       1.715937391513e-02       2.469735608483e+04 
       1.728950716137e-02       2.468857885098e+04 
       1.741968817458e-02       2.467834939161e+04 
       1.754991767056e-02       2.466668910986e+04 
       1.768019638760e-02       2.465361888844e+04 
       1.781052508681e-02       2.463915946454e+04 
       1.794090455236e-02       2.462333151885e+04 
       1.807133559180e-02       2.460615565810e+04 
       1.820181903640e-02       2.458765191024e+04 
       1.833235574143e-02       2.456784076913e+04 
       1.846294658656e-02       2.454674207977e+04 
       1.859359247622e-02       2.452437575714e+04 
       1.872429433997e-02       2.450076136048e+04 
       1.885505313290e-02       2.447591865431e+04 
       1.898586983607e-02       2.444986678781e+04 
       1.911674545695e-02       2.442262518042e+04 
       1.924768102983e-02       2.439421285200e+04 
       1.937867761634e-02       2.436464881123e+04 
       1.950973630594e-02       2.433395159544e+04 
       1.964085821638e-02       2.430214009834e+04 
       1.977204449430e-02       2.426923275339e+04 
       1.990329631569e-02       2.423524762738e+04 
       2.003461488655e-02       2.420020328457e+04 
       2.016600144340e-02       2.416411751572e+04 
       2.029745725392e-02       2.412700829548e+04 
       2.042898361758e-02       2.408889321303e+04 
       2.056058186627e-02       2.404979009979e+04 
       2.069225336498e-02       2.400971613559e+04 
       2.082399951250e-02       2.396868871451e+04 
       2.095582174211e-02       2.392672509392e+04 
       2.108772152232e-02       2.388384216656e+04 
       2.121970035767e-02       2.384005669483e+04 
       2.135175978945e-02       2.379538547211e+04 
       2.148390139656e-02       2.374984514287e+04 
       2.161612679633e-02       2.370345190226e+04 
       2.174843764539e-02       2.365622214688e+04 
       2.188083564052e-02       2.360817205242e+04 
       2.201332251962e-02       2.355931753055e+04 
       2.214590006263e-02       2.350967432521e+04 
       2.227857009249e-02       2.345925817627e+04 
       2.241133447618e-02       2.340808473327e+04 
       2.254419512574e-02       2.335616911568e+04 
       2.267715399931e-02       2.330352682307e+04 
       2.281021310230e-02       2.325017289365e+04 
       2.294337448846e-02       2.319612217492e+04 
       2.307664026109e-02       2.314138953738e+04 
       2.321001257424e-02       2.308598978877e+04 
       2.334349363396e-02       2.302993702056e+04 
       2.347708569959e-02       2.297324604927e+04 
       2.361079108508e-02       2.291593093755e+04 
       2.374461216036e-02       2.285800575547e+04 
       2.387855135276e-02       2.279948443568e+04 
       2.401261114846e-02       2.274038059347e+04 
       2.414679409402e-02       2.268070819991e+04 
       2.428110279789e-02       2.262048064697e+04 
       2.441553993205e-02       2.255971086873e+04 
       2.455010823366e-02       2.249841268375e+04 
       2.468481050674e-02       2.243659876551e+04 
       2.481964962398e-02       2.237428223166e+04 
       2.495462852853e-02       2.231147557860e+04 
       2.508975023590e-02       2.224819160085e+04 
       2.522501783589e-02       2.218444284660e+04 
       2.536043449461e-02       2.212024141424e+04 
       2.549600345657e-02       2.205559955758e+04 
       2.563172804680e-02       2.199052944216e+04 
       2.576761167309e-02       2.192504278533e+04 
       2.590365782827e-02       2.185915149418e+04 
       2.603987009262e-02       2.179286680448e+04 
       2.617625213627e-02       2.172620049554e+04 
       2.631280772179e-02       2.165916383458e+04 
       2.644954070680e-02       2.159176766459e+04 
       2.658645504667e-02       2.152402330340e+04 
       2.672355479740e-02       2.145594152334e+04 
       2.686084411845e-02       2.138753298578e+04 
       2.699832727586e-02       2.131880831079e+04 
       2.713600864529e-02       2.124977767294e+04 
       2.727389271534e-02       2.118045163564e+04 
